text,punct,symb,tokenized,nonstop,stemmed,polarity,subjectivity,sentiment
@indian93305872 @naresh7msdian @ganesh06914465 @msdian_ssrian @msdhoni yes....shivam dube was trolled massively aft… https://t.co/fcwut8p8ka,indian335872 naresh7msdian ganesh614465 msdianssrian msdhoni yesshivam dube was trolled massively aft… httpstcofcwut8p8ka, indian93305872  naresh7msdian  ganesh06914465  msdian_ssrian  msdhoni yes....shivam dube was trolled massively aft… https://t.co/fcwut8p8ka,"['indian335872', 'naresh7msdian', 'ganesh614465', 'msdianssrian', 'msdhoni', 'yesshivam', 'dube', 'was', 'trolled', 'massively', 'aft', 'httpstcofcwut8p8ka']","['indian335872', 'naresh7msdian', 'ganesh614465', 'msdianssrian', 'msdhoni', 'yesshivam', 'dube', 'trolled', 'massively', 'aft', 'httpstcofcwut8p8ka']","['indian335872', 'naresh7msdian', 'ganesh614465', 'msdianssrian', 'msdhoni', 'yesshivam', 'dube', 'troll', 'massiv', 'aft', 'httpstcofcwut8p8ka']",0.0,1.0,
" jump(k)ing after the wicket 😍

#msdhoni https://t.co/k37lrncc7h"," jumpking after the wicket 😍

msdhoni httpstcok37lrncc7h"," jump(k)ing after the wicket 😍

#msdhoni https://t.co/k37lrncc7h","['', 'jumpking', 'after', 'the', 'wicket', 'msdhoni', 'httpstcok37lrncc7h']","['', 'jumpking', 'wicket', 'msdhoni', 'httpstcok37lrncc7h']","['', 'jumpk', 'wicket', 'msdhoni', 'httpstcok37lrncc7h']",0.0,0.0,
" life is made of ever so many partings welded together. 

sher pratik will conquer kkk12"," life is made of ever so many partings welded together 

sher pratik will conquer kkk12"," life is made of ever so many partings welded together. 

sher pratik will conquer kkk12","['', 'life', 'is', 'made', 'of', 'ever', 'so', 'many', 'partings', 'welded', 'together', 'sher', 'pratik', 'will', 'conquer', 'kkk12']","['', 'life', 'made', 'ever', 'many', 'partings', 'welded', 'together', 'sher', 'pratik', 'conquer', 'kkk12']","['', 'life', 'made', 'ever', 'mani', 'part', 'weld', 'togeth', 'sher', 'pratik', 'conquer', 'kkk12']",0.5,0.5,
 one person can change the world. that person can be you., one person can change the world that person can be you, one person can change the world. that person can be you.,"['', 'one', 'person', 'can', 'change', 'the', 'world', 'that', 'person', 'can', 'be', 'you']","['', 'one', 'person', 'change', 'world', 'person']","['', 'one', 'person', 'chang', 'world', 'person']",0.0,0.0,
@gemlin1222 oh my god the click clacking,gemlin1222 oh my god the click clacking, gemlin1222 oh my god the click clacking,"['gemlin1222', 'oh', 'my', 'god', 'the', 'click', 'clacking']","['gemlin1222', 'oh', 'god', 'click', 'clacking']","['gemlin1222', 'oh', 'god', 'click', 'clack']",0.0,0.0,
happy birthday @anupriya005 god bless you. ✨✨,happy birthday anupriya5 god bless you ✨✨,happy birthday  anupriya005 god bless you. ✨✨,"['happy', 'birthday', 'anupriya5', 'god', 'bless', 'you', '']","['happy', 'birthday', 'anupriya5', 'god', 'bless', '']","['happi', 'birthday', 'anupriya5', 'god', 'bless', '']",0.8,1.0,
@wtfdivs shivam ka space sunle,wtfdivs shivam ka space sunle, wtfdivs shivam ka space sunle,"['wtfdivs', 'shivam', 'ka', 'space', 'sunle']","['wtfdivs', 'shivam', 'ka', 'space', 'sunle']","['wtfdiv', 'shivam', 'ka', 'space', 'sunl']",0.0,0.0,
@journoshivam thank you shivam💜,journoshivam thank you shivam💜, journoshivam thank you shivam💜,"['journoshivam', 'thank', 'you', 'shivam', '']","['journoshivam', 'thank', 'shivam', '']","['journoshivam', 'thank', 'shivam', '']",0.0,0.0,
"@witchdctralex you have blessed me immensely in so many ways, alex. i thank you back. shivam is a gem 💎 ✨. so very kind and intelligent.",witchdctralex you have blessed me immensely in so many ways alex i thank you back shivam is a gem 💎 ✨ so very kind and intelligent, witchdctralex you have blessed me immensely in so many ways  alex. i thank you back. shivam is a gem 💎 ✨. so very kind and intelligent.,"['witchdctralex', 'you', 'have', 'blessed', 'me', 'immensely', 'in', 'so', 'many', 'ways', 'alex', 'i', 'thank', 'you', 'back', 'shivam', 'is', 'a', 'gem', 'so', 'very', 'kind', 'and', 'intelligent']","['witchdctralex', 'blessed', 'immensely', 'many', 'ways', 'alex', 'thank', 'back', 'shivam', 'gem', 'kind', 'intelligent']","['witchdctralex', 'bless', 'immens', 'mani', 'way', 'alex', 'thank', 'back', 'shivam', 'gem', 'kind', 'intellig']",0.52,0.6,
@lol_shivam i've heard sex with your best does that to ppl 🙃,lolshivam ive heard sex with your best does that to ppl 🙃, lol_shivam i've heard sex with your best does that to ppl 🙃,"['lolshivam', 'ive', 'heard', 'sex', 'with', 'your', 'best', 'does', 'that', 'to', 'ppl', '']","['lolshivam', 'ive', 'heard', 'sex', 'best', 'ppl', '']","['lolshivam', 'ive', 'heard', 'sex', 'best', 'ppl', '']",1.0,0.3,
